"Ponderación.calidad.del.aire","Precios.alquiler","Precio.medio.vivienda..EUR.m2.","Distancia.al.aeropuerto.internacional.más.cercano..km.","Carril.Bici","Horas.de.Sol.medias.anuales","Horas.de.Sol.medias"
410,NA,NA,NA,NA,2453,2453
369,NA,1417,169,NA,3282,3282
397,NA,NA,NA,NA,3526,3526
396,NA,NA,21,28,2691,2691
408,12,NA,NA,NA,2691,2691
398,NA,NA,NA,NA,2691,2691
401,NA,NA,107,NA,3316,3316
423,NA,1705,NA,NA,3397,3397
387,NA,1302,NA,NA,3305,3305
NA,NA,NA,NA,NA,3098,3098
395,NA,NA,NA,NA,1962,1962
423,NA,1374,217,NA,3224,3224
429,NA,NA,NA,NA,2453,2453
423,NA,NA,16,16,1694,1694
429,NA,4063,NA,NA,2453,2453
442,NA,3174,NA,NA,1694,1694
476,NA,1642,122,NA,2751,2751
406,NA,122,269,NA,3365,3365
394,NA,2548,NA,NA,3316,3316
395,NA,NA,NA,NA,3348,3348
443,NA,1214,NA,50,3321,3321
396,NA,2204,149,NA,NA,NA
NA,NA,NA,NA,NA,3316,3316
399,7,1441,137,NA,3316,3316
NA,NA,NA,NA,NA,2453,2453
389,NA,NA,NA,NA,2691,2691
383,NA,NA,NA,NA,3526,3526
391,NA,NA,NA,NA,3305,3305
NA,NA,NA,NA,NA,3316,3316
421,NA,NA,NA,11,3397,3397
NA,NA,NA,NA,NA,3248,3248
399,NA,NA,NA,NA,2691,2691
436,NA,NA,NA,NA,2808,2808
396,NA,NA,NA,NA,2691,2691
432,NA,NA,NA,NA,1694,1694
362,NA,NA,NA,NA,1962,1962
493,11,2226,NA,NA,NA,NA
384,9,1931,NA,NA,3228,3228
407,NA,1521,NA,NA,NA,NA
436,NA,1227,102,NA,3527,3527
379,NA,1094,NA,NA,3289,3289
400,NA,NA,NA,NA,3316,3316
404,NA,NA,NA,NA,2453,2453
379,NA,2119,NA,NA,NA,NA
NA,NA,NA,NA,NA,2691,2691
390,NA,NA,28,NA,2691,2691
443,NA,1318,129,NA,NA,NA
489,NA,1122,88,NA,NA,NA
433,NA,1608,98,NA,2708,2708
376,NA,NA,68,30,3348,3348
411,NA,123,102,NA,NA,NA
377,NA,3935,NA,NA,2691,2691
390,NA,239,NA,NA,3248,3248
494,NA,NA,NA,NA,2453,2453
432,NA,NA,NA,NA,3248,3248
410,NA,NA,NA,NA,2453,2453
382,NA,1856,284,NA,NA,NA
NA,NA,NA,NA,NA,3248,3248
403,NA,NA,NA,NA,2691,2691
381,NA,1166,NA,NA,3348,3348
457,NA,NA,50,NA,3397,3397
420,NA,1458,89,NA,NA,NA
383,NA,1636,NA,NA,1962,1962
412,NA,1278,NA,NA,NA,NA
360,NA,3531,NA,NA,3098,3098
425,NA,2539,102,33,2285,2285
NA,NA,NA,NA,NA,2691,2691
450,NA,186,NA,NA,3031,3031
NA,NA,NA,NA,NA,2691,2691
439,NA,NA,NA,NA,282,282
403,NA,NA,NA,NA,2691,2691
NA,7,NA,NA,NA,3305,3305
417,NA,NA,NA,NA,2453,2453
474,NA,NA,38,NA,2453,2453
470,NA,1752,127,NA,3262,3262
NA,8,NA,NA,NA,3098,3098
397,NA,NA,NA,NA,3316,3316
437,NA,5191,99,NA,1906,1906
NA,NA,NA,NA,NA,2691,2691
NA,NA,NA,NA,NA,2453,2453
445,NA,NA,NA,52,2453,2453
475,NA,NA,NA,NA,2453,2453
367,NA,1716,12,NA,3098,3098
431,NA,1998,NA,NA,1639,1639
430,NA,NA,NA,NA,2453,2453
439,NA,2151,NA,NA,3526,3526
409,NA,NA,139,NA,2815,2815
426,NA,1828,NA,NA,282,282
389,NA,NA,NA,NA,NA,NA
472,NA,NA,NA,NA,2453,2453
402,NA,1422,84,NA,2815,2815
397,NA,NA,NA,NA,2691,2691
426,NA,NA,NA,NA,2808,2808
394,NA,NA,NA,NA,3397,3397
392,NA,NA,NA,NA,2691,2691
398,NA,2122,NA,NA,2808,2808
433,NA,1578,NA,NA,3016,3016
NA,NA,NA,NA,NA,3248,3248
415,NA,NA,NA,NA,3031,3031
450,NA,2515,12,NA,2147,2147
438,NA,1714,NA,20,2602,2602
